,name,opt_weight,heuristic_weight,baseline_weight,local_search_weight,greedy_weight
7560,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07560.graph,510400.0,508294,508294,510052,468270
7561,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07561.graph,519836.0,516571,516571,519716,481027
7562,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07562.graph,520618.0,519737,519737,520618,493124
7563,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07563.graph,527841.0,527342,527342,527841,483510
7564,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07564.graph,502878.0,489332,489332,502878,470180
7565,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07565.graph,528087.0,528087,528087,528087,494273
7566,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07566.graph,528493.0,518499,518499,528149,495499
7567,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07567.graph,523618.0,509768,509768,523049,488229
7568,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07568.graph,514818.0,504441,504441,514631,472054
7569,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07569.graph,509691.0,501678,501678,509403,467274
7570,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07570.graph,518780.0,518380,518380,518780,476519
7571,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07571.graph,530685.0,530448,530448,530685,490025
7572,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07572.graph,518065.0,512339,512339,517035,477085
7573,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07573.graph,512584.0,512584,512584,512584,482002
7574,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07574.graph,503444.0,503444,503444,503444,472399
7575,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07575.graph,504518.0,500232,500232,504518,468416
7576,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07576.graph,527209.0,523726,523726,527209,485581
7577,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07577.graph,515076.0,504334,504334,514219,475737
7578,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07578.graph,507000.0,501406,501406,506465,464737
7579,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07579.graph,517117.0,517117,517117,517117,482206
7580,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07580.graph,504174.0,499183,499183,504174,472655
7581,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07581.graph,516928.0,516928,516928,516928,485838
7582,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07582.graph,521268.0,517120,517120,520861,492135
7583,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07583.graph,518709.0,516956,516956,517336,480782
7584,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07584.graph,507785.0,497290,497290,506846,473443
7585,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07585.graph,521737.0,521737,521737,521737,497526
7586,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07586.graph,508572.0,500589,500589,507071,476512
7587,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07587.graph,513112.0,512437,512437,513112,476177
7588,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07588.graph,523242.0,521966,521966,522430,482708
7589,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07589.graph,510375.0,510006,510006,510375,481767
