,name,opt_weight,heuristic_weight,baseline_weight,local_search_weight,greedy_weight
3667,erdos-reyni-n1000-p0.005--maxw2000-seed5_4299.graph,,494884,494884,502601,460833
3668,erdos-reyni-n1000-p0.005--maxw2000-seed5_43.graph,,464835,464835,482716,449806
3669,erdos-reyni-n1000-p0.005--maxw2000-seed5_430.graph,,485869,485869,498491,455103
3670,erdos-reyni-n1000-p0.005--maxw2000-seed5_4300.graph,,464552,464552,484887,457988
3671,erdos-reyni-n1000-p0.005--maxw2000-seed5_4301.graph,,468426,468426,489255,444065
3672,erdos-reyni-n1000-p0.005--maxw2000-seed5_4302.graph,,468555,468555,483185,444801
3673,erdos-reyni-n1000-p0.005--maxw2000-seed5_4303.graph,,473308,473308,483214,452503
3674,erdos-reyni-n1000-p0.005--maxw2000-seed5_4304.graph,,473332,473332,500680,458882
3675,erdos-reyni-n1000-p0.005--maxw2000-seed5_4305.graph,,498542,498542,523384,482704
3676,erdos-reyni-n1000-p0.005--maxw2000-seed5_4306.graph,,478384,478384,513917,481197
3677,erdos-reyni-n1000-p0.005--maxw2000-seed5_4307.graph,,470651,470651,492877,449040
3678,erdos-reyni-n1000-p0.005--maxw2000-seed5_4308.graph,,475465,475465,494505,454215
3679,erdos-reyni-n1000-p0.005--maxw2000-seed5_4309.graph,,480746,480746,499153,465841
3680,erdos-reyni-n1000-p0.005--maxw2000-seed5_431.graph,,489700,489700,505306,465295
3681,erdos-reyni-n1000-p0.005--maxw2000-seed5_4310.graph,,480365,480365,498886,462226
3682,erdos-reyni-n1000-p0.005--maxw2000-seed5_4311.graph,,490602,490602,503446,458253
3683,erdos-reyni-n1000-p0.005--maxw2000-seed5_4312.graph,,505386,505386,524518,485048
3684,erdos-reyni-n1000-p0.005--maxw2000-seed5_4313.graph,512321.0,497337,497337,511203,484883
3685,erdos-reyni-n1000-p0.005--maxw2000-seed5_4314.graph,,483385,483385,494308,446541
3686,erdos-reyni-n1000-p0.005--maxw2000-seed5_4315.graph,,466867,466867,483602,436170
3687,erdos-reyni-n1000-p0.005--maxw2000-seed5_4316.graph,,477468,477468,494461,459650
3688,erdos-reyni-n1000-p0.005--maxw2000-seed5_4317.graph,,472784,472784,493554,460364
3689,erdos-reyni-n1000-p0.005--maxw2000-seed5_4318.graph,,471982,471982,490671,443957
3690,erdos-reyni-n1000-p0.005--maxw2000-seed5_4319.graph,,469938,469938,485701,460552
3691,erdos-reyni-n1000-p0.005--maxw2000-seed5_432.graph,,479850,479850,499171,454339
3692,erdos-reyni-n1000-p0.005--maxw2000-seed5_4320.graph,,482308,482308,493685,461950
3693,erdos-reyni-n1000-p0.005--maxw2000-seed5_4321.graph,,479162,479162,499599,459979
3694,erdos-reyni-n1000-p0.005--maxw2000-seed5_4322.graph,,484605,484605,505951,462537
3695,erdos-reyni-n1000-p0.005--maxw2000-seed5_4323.graph,,497196,497196,513321,476295
3696,erdos-reyni-n1000-p0.005--maxw2000-seed5_4324.graph,,476592,476592,490956,454772
3697,erdos-reyni-n1000-p0.005--maxw2000-seed5_4325.graph,,498281,498281,511560,467103
3698,erdos-reyni-n1000-p0.005--maxw2000-seed5_4326.graph,,489756,489756,495648,458611
3699,erdos-reyni-n1000-p0.005--maxw2000-seed5_4327.graph,,463415,463415,478877,449660
3700,erdos-reyni-n1000-p0.005--maxw2000-seed5_4328.graph,,487200,487200,501506,475465
3701,erdos-reyni-n1000-p0.005--maxw2000-seed5_4329.graph,,455935,455935,486865,444394
3702,erdos-reyni-n1000-p0.005--maxw2000-seed5_433.graph,,493886,493886,507404,463811
3703,erdos-reyni-n1000-p0.005--maxw2000-seed5_4330.graph,,485857,485857,499037,458826
3704,erdos-reyni-n1000-p0.005--maxw2000-seed5_4331.graph,,460462,460462,492811,454141
3705,erdos-reyni-n1000-p0.005--maxw2000-seed5_4332.graph,,484090,484090,498736,452382
3706,erdos-reyni-n1000-p0.005--maxw2000-seed5_4333.graph,,482402,482402,504941,467976
3707,erdos-reyni-n1000-p0.005--maxw2000-seed5_4334.graph,,460459,460459,478448,436752
3708,erdos-reyni-n1000-p0.005--maxw2000-seed5_4335.graph,,471828,471828,492555,449570
3709,erdos-reyni-n1000-p0.005--maxw2000-seed5_4336.graph,,491072,491072,502564,459762
3710,erdos-reyni-n1000-p0.005--maxw2000-seed5_4337.graph,,483415,483415,506617,470600
3711,erdos-reyni-n1000-p0.005--maxw2000-seed5_4338.graph,,485348,485348,498882,456736
3712,erdos-reyni-n1000-p0.005--maxw2000-seed5_4339.graph,,465249,465249,493482,440839
3713,erdos-reyni-n1000-p0.005--maxw2000-seed5_434.graph,512468.0,504687,504687,511781,470740
