name,n_nodes,n_edges,avg_deg,n_components,n_isolates,sum_weights,treewidth_min_degree,average_clustering,kamis_weight
erdos-reyni-n200-p0.1--maxw400-seed20_373,200,1944,19.44,1,0,40877,130,0.098,10291
erdos-reyni-n200-p0.1--maxw400-seed20_327,200,2025,20.25,1,0,39878,131,0.106,10688
erdos-reyni-n200-p0.1--maxw400-seed20_486,200,1991,19.91,1,0,41430,136,0.103,11014
erdos-reyni-n200-p0.1--maxw400-seed20_347,200,2022,20.22,1,0,41496,135,0.116,10123
erdos-reyni-n200-p0.1--maxw400-seed20_530,200,1942,19.42,1,0,40045,132,0.109,10449
erdos-reyni-n200-p0.1--maxw400-seed20_488,200,1948,19.48,1,0,41278,133,0.106,10300
erdos-reyni-n200-p0.1--maxw400-seed20_456,200,1911,19.11,1,0,44028,134,0.075,11735
erdos-reyni-n200-p0.1--maxw400-seed20_763,200,1957,19.57,1,0,40024,136,0.098,10087
erdos-reyni-n200-p0.1--maxw400-seed20_712,200,2001,20.01,1,0,42914,135,0.124,10127
erdos-reyni-n200-p0.1--maxw400-seed20_941,200,1984,19.84,1,0,40658,139,0.094,10431
erdos-reyni-n200-p0.1--maxw400-seed20_664,200,1936,19.36,1,0,40051,135,0.107,10427
erdos-reyni-n200-p0.1--maxw400-seed20_459,200,2043,20.43,1,0,44070,135,0.11,10625
erdos-reyni-n200-p0.1--maxw400-seed20_440,200,2008,20.08,1,0,37133,136,0.1,9690
erdos-reyni-n200-p0.1--maxw400-seed20_192,200,1953,19.53,1,0,40353,137,0.1,9795
erdos-reyni-n200-p0.1--maxw400-seed20_396,200,1931,19.31,1,0,42782,137,0.092,10720
erdos-reyni-n200-p0.1--maxw400-seed20_171,200,2046,20.46,1,0,39624,135,0.102,10387
erdos-reyni-n200-p0.1--maxw400-seed20_513,200,1969,19.69,1,0,41324,135,0.085,10323
erdos-reyni-n200-p0.1--maxw400-seed20_379,200,2033,20.33,1,0,40261,138,0.082,9884
erdos-reyni-n200-p0.1--maxw400-seed20_113,200,2000,20.0,1,0,37034,133,0.113,9291
erdos-reyni-n200-p0.1--maxw400-seed20_181,200,2022,20.22,1,0,40679,132,0.08,10236
